"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dusp4",367.263759542707,2.09827582851892,0.115292432865051,18.1995971147121,5.19887296722713e-74,3.2737848376445e-73
"Nfatc1",1312.03122018648,-0.61359571866501,0.0680718143327101,-9.01394688359531,1.98770992316337e-19,4.87575064901675e-19
"Saa3",16704.6907205395,-8.61533225797968,0.093168268907362,-92.4706701006324,0,0
"Sfrp4",79.7093041732653,2.87741485216343,0.277720829215529,10.3608175889838,3.73753474505783e-25,1.06187603848881e-24
