"","x"
"320","Sgms2"
"321","Galnt5"
"322","H2-Aa"
"323","Tspan2"
"324","Srpx2"
"325","Prss12"
"326","Csf2rb"
"327","Cdo1"
"328","Arap3"
"329","Sdc3"
"330","Mettl7a3"
"331","Vash2"
"332","Ly75"
"333","Col23a1"
"334","Lrg1"
"335","Slc13a3"
"336","Thbs2"
"337","Bnc1"
"338","Spock1"
"339","Saa3"
"340","Abcb4"
"341","Ccl7"
"342","Aldh1l2"
"343","Slc9b2"
"344","Krtap13"
"345","Mmp19"
"346","Ccr1"
"347","Kcne4"
"348","Tmem119"
"349","Samd4"
"350","Col5a1"
"351","Fhod1"
"352","Tmprss11g"
"353","Mmp13"
"354","Tnc"
"355","Lcn2"
"356","Vcam1"
"357","Cd244"
"358","Megf6"
"359","Col6a1"
"360","Cd274"
"361","Cdh2"
"362","Masp1"
"363","Rnd1"
"364","Cxcl5"
"365","Ptges"
"366","Gsdmc"
"367","Mmp9"
"368","Ctsk"
"369","Serpine1"
"370","Postn"
"371","Fmod"
"372","Rbp1"
"373","Clec4a2"
"374","Eva1b"
"375","Snai1"
"376","Nid2"
"377","Cfb"
"378","Efemp2"
"379","Steap1"
"380","Creb3l1"
"381","Hdc"
"382","Col1a1"
"383","Angptl4"
"384","Nfatc4"
"385","Oscar"
"386","Kdelr2"
"387","Hoxd13"
"388","Pde4b"
"389","Bcl6b"
"390","Car9"
"391","Col4a2"
"392","Pdpn"
"393","Gja5"
"394","Fkbp11"
"395","Snx7"
"396","Plaur"
"397","Vash1"
"398","Slc13a5"
"399","Lat2"
"400","Sh2d5"
"401","Mdga1"
"402","Serpina3n"
"403","Emb"
"404","Cd300lf"
"405","Egln3"
"406","Col1a2"
"407","Mt3"
"408","Sh3bp2"
"409","Dkk3"
"410","Gsr"
"411","Slc41a2"
"412","Tnfsf11"
"413","Nmb"
"414","Dact1"
"415","Basp1"
"416","Cercam"
"417","Arsb"
"418","Sparc"
