,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_descriptive_only,note
Chchd10,9.44240286071768,0.578394652860755,0.716197042982434,0.807591512039993,0.419325774587026,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rnf114,15.8612990573552,0.421863634586534,0.522771837826036,0.806974676258131,0.41968107315674,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Dhx15,52.7926025491799,0.283561751442746,0.351487952240316,0.806746716737739,0.419812423039805,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Acot13,17.9393884892495,0.38681803846343,0.479810767350343,0.80618874103129,0.420134029610563,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Pigt,41.9810158622902,0.288818170537486,0.358549776379133,0.805517642359615,0.420521029781734,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Emx2,10.6986155999836,0.479040517655196,0.596932627007735,0.802503491987863,0.422261769254861,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Wdr12,14.4591307003252,0.508283734190082,0.633792079189234,0.801972367405245,0.422568942654509,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gstp2,11.9942613471049,0.530331601913184,0.661738313950105,0.801421937846522,0.422887419084731,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Prkca,40.5687596881894,0.285585496446243,0.357677405002363,0.798444331266485,0.424612686084865,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Col1a1,11602.0372169702,0.337962409238395,0.423389657700153,0.798230195499348,0.42473691770075,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Bmp1,158.326720852917,0.257854958294192,0.323101585205791,0.79806156979997,0.424834761437586,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ppox,9.67907577542159,0.507951266854541,0.636500138710398,0.798037951544979,0.424848466795797,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Abl2,27.1049348842916,0.367344199669563,0.460471980106849,0.797755814771453,0.425012206974271,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rabac1,224.920884830204,0.203608718106691,0.255468367130476,0.797001681240248,0.425450054902496,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rapgef6,24.7861517440257,0.349782861114497,0.439186718813225,0.796433148205584,0.425780317716294,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Nfil3,70.3799588638145,0.27852680846495,0.349783675012707,0.796283041096275,0.425867540418278,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Fut11,24.5591691247563,0.372471718331314,0.468200627058543,0.795538700303237,0.426300208364933,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Frmd6,68.0550640857827,0.302906753775251,0.380888832384191,0.795262890432341,0.426460595291726,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Fam46a,137.789666639741,0.353140800790283,0.444062804229888,0.795249675105561,0.426468281054641,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tmem123,38.7675150302594,0.305498870705246,0.384550751064984,0.794430565690458,0.42694481592446,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Cdk12,40.0620889792045,0.29319235551247,0.369180025587501,0.794171773096046,0.427095438682475,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Vti1b,37.5727731253178,0.288502445075503,0.363403742037245,0.793889582584251,0.427259714807969,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Pla2g12a,15.0110770670489,0.447751543645137,0.564432155424804,0.793277879975052,0.427615941500167,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Hsd17b11,29.2237436568073,0.339993974011142,0.428652748135643,0.793168772368525,0.427679498785832,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Shisa5,85.5804069391253,0.258997197092853,0.327159597874417,0.791653977983772,0.428562463913779,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Zfand6,48.686563323877,0.267013069930823,0.337685467999435,0.790715311241258,0.429110139202282,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Abce1,28.1520698689186,0.314567660406252,0.397857493588591,0.790654104737144,0.429145864925006,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Lsamp,14.9432240966905,0.454313472952714,0.575907374586365,0.78886552421562,0.430190607604569,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Fabp4,27.8297362672256,1.13042641248121,1.43325253705231,0.788714049518512,0.430279154524327,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Nbeal1,48.1955609224502,0.289763484034718,0.367573995531793,0.788313339782101,0.430513446720354,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tnrc6b,59.342309499157,0.269101314810967,0.341510522787168,0.787973713415189,0.430712081851267,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Slc38a7,7.70313244144132,0.53572559701859,0.68029852989821,0.787486042486007,0.430997395847862,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Csnk1g1,16.2064658505432,0.390980966776979,0.496555139617669,0.787386808800371,0.431055466366731,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Taf12,17.0367207630127,0.372801025546061,0.473853182579952,0.786743740996524,0.431431892914221,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Mau2,12.5257608039797,0.446909413636867,0.568984740866485,0.785450613238391,0.432189415547777,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Dip2c,19.4316287033849,0.380048755437637,0.484068838559357,0.785113035924197,0.432387297259513,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Scamp3,35.2545662248164,0.29217678730796,0.372289324814574,0.784811080611791,0.432564342441187,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Washc4,20.9963788913177,0.405175964134936,0.516394780042769,0.784624438111823,0.432673797351675,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rgma,16.7472446482997,0.395932766417772,0.50495337935142,0.784097666454519,0.432982804583175,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gba,10.7277938765332,0.480777528398644,0.614116356190385,0.782876931305175,0.433699385365964,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Mmp16,9.07552493689551,0.503017893911914,0.642558907841102,0.782835453331393,0.433723745288734,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Kdm7a,31.5779059473782,0.299715834247375,0.382973642348877,0.782601727913022,0.4338610264989,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tpst1,57.2364654559074,0.286356077918752,0.366049344987532,0.782288185568274,0.434045228504609,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Sqstm1,144.123693569508,0.24524680973487,0.313569185423042,0.782113871948234,0.4341476550092,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Dtnbp1,58.738588090162,0.288832392856645,0.369365019466058,0.781970077388951,0.434232159056581,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Prelp,103.000045026362,0.275536851834705,0.352878196914395,0.780827079269927,0.434904205046254,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Trpm7,40.696776469605,0.287544820700598,0.368294223230287,0.780747572358205,0.434950974868959,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Glud1,100.767338853349,0.255856405597233,0.327812775889668,0.780495527981943,0.435099258788649,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
