"","x"
"1359","Rcc2"
"1360","Rce1"
"1361","Rcn3"
"1362","Reep5"
"1363","Rfc2"
"1364","Rfng"
"1365","Rftn2"
"1366","Rgl2"
"1367","Rgma"
"1368","Rgs12"
"1369","Rgs3"
"1370","Rhbdd3"
"1371","Rhbdf1"
"1372","Rhob"
"1373","Rhoc"
"1374","Rhog"
"1375","Rin1"
"1376","Ripk3"
"1377","Rnaseh2a"
"1378","Rnasek"
"1379","Rnasel"
"1380","Rnf114"
"1381","Rnf122"
"1382","Rnf166"
"1383","Rnf187"
"1384","Rnf215"
"1385","Rnf220"
"1386","Rnf26"
"1387","Rpf2"
"1388","Rpl10a"
"1389","Rpl12"
"1390","Rpl13a"
"1391","Rpl19"
"1392","Rpl23a"
"1393","Rpl27-ps3"
"1394","Rpl31"
"1395","Rpl36-ps3"
"1396","Rpl37a"
"1397","Rpl38"
"1398","Rpl39"
"1399","Rplp2"
"1400","Rpn1"
"1401","Rps14"
"1402","Rps15a"
"1403","Rps19"
"1404","Rps20"
"1405","Rps21"
"1406","Rps25"
"1407","Rps29"
"1408","Rps3"
"1409","Rps6ka1"
"1410","Rps6ka4"
"1411","Rras"
"1412","Rras2"
"1413","Rrp7a"
"1414","Rrp9"
"1415","Rtkn"
"1416","Rusc1"
"1417","Rusc2"
"1418","Ruvbl2"
"1419","Rxra"
"1420","Rxrb"
"1421","S100a10"
"1422","S100a11"
"1423","S100a6"
"1424","S100a8"
"1425","S100a9"
"1426","S1pr2"
"1427","Saa1"
"1428","Saa2"
"1429","Sac3d1"
"1430","Samhd1"
"1431","Samm50"
"1432","Samsn1"
"1433","Sardh"
"1434","Saysd1"
"1435","Sbno2"
"1436","Sbspon"
"1437","Scamp3"
"1438","Scamp4"
"1439","Scamp5"
"1440","Scarf2"
"1441","Scn1b"
"1442","Scx"
"1443","Scyl1"
"1444","Sdc3"
"1445","Sdf2l1"
"1446","Sdk1"
"1447","Sec61a1"
"1448","Sec61b"
"1449","Sec61g"
"1450","Selenof"
"1451","Selenoh"
"1452","Selenom"
"1453","Selenon"
"1454","Selenow"
"1455","Selp"
"1456","Sema6c"
"1457","Sema7a"
"1458","9-Sep"
"1459","Serhl"
"1460","Serinc2"
"1461","Serp1"
"1462","Serpina3n"
"1463","Serpinb1a"
"1464","Serpinb2"
"1465","Serpinb3c"
"1466","Serpine1"
"1467","Serpinf1"
"1468","Serpinh1"
"1469","Sertad1"
"1470","Sertad3"
"1471","Sesn2"
"1472","Sf3b5"
"1473","Sfrp2"
"1474","Sfxn3"
"1475","Sgta"
"1476","Sh2b1"
"1477","Sh2b2"
"1478","Sh2d2a"
"1479","Sh2d3c"
"1480","Sh2d5"
"1481","Sh3bp2"
"1482","Sh3bp5l"
"1483","Sh3glb2"
"1484","Sh3pxd2b"
"1485","Sh3tc1"
"1486","Shc1"
"1487","Shisa5"
"1488","Shmt2"
"1489","Sidt2"
"1490","Sigmar1"
"1491","Sil1"
"1492","Sirpa"
"1493","Siva1"
"1494","Six5"
"1495","Skiv2l"
"1496","Slc10a6"
"1497","Slc11a1"
"1498","Slc12a4"
"1499","Slc12a9"
"1500","Slc15a3"
"1501","Slc15a4"
"1502","Slc16a1"
"1503","Slc16a2"
"1504","Slc16a3"
"1505","Slc16a6"
"1506","Slc19a1"
"1507","Slc25a1"
"1508","Slc25a10"
"1509","Slc25a11"
"1510","Slc25a28"
"1511","Slc25a39"
"1512","Slc26a6"
"1513","Slc27a3"
"1514","Slc27a4"
"1515","Slc29a1"
"1516","Slc29a2"
"1517","Slc2a1"
"1518","Slc35a2"
"1519","Slc35b2"
"1520","Slc35c2"
"1521","Slc35e4"
"1522","Slc37a4"
"1523","Slc38a10"
"1524","Slc39a1"
"1525","Slc39a11"
"1526","Slc39a13"
"1527","Slc39a14"
"1528","Slc39a3"
"1529","Slc39a7"
"1530","Slc3a2"
"1531","Slc41a3"
"1532","Slc46a1"
"1533","Slc48a1"
"1534","Slc4a11"
"1535","Slc4a7"
"1536","Slc6a9"
"1537","Slc7a11"
"1538","Slc7a4"
"1539","Slc7a5"
"1540","Slc8b1"
"1541","Slc9a3r1"
"1542","Slc9b2"
"1543","Slfn4"
"1544","Slpi"
"1545","Slurp1"
"1546","Smad3"
"1547","Smagp"
"1548","Smarcb1"
"1549","Smco4"
"1550","Smdt1"
"1551","Smim12"
"1552","Smim3"
"1553","Smim4"
"1554","Smo"
"1555","Smoc1"
"1556","Smoc2"
"1557","Smox"
"1558","Smtnl2"
"1559","Snai1"
"1560","Snapc2"
"1561","Snd1"
"1562","Snrnp25"
"1563","Snrpc"
"1564","Snta1"
"1565","Snx11"
"1566","Socs3"
"1567","Sod1"
"1568","Sod3"
"1569","Soga1"
"1570","Sorbs3"
"1571","Sorcs2"
"1572","Sox4"
"1573","Sparc"
"1574","Spg21"
"1575","Sphk1"
"1576","Spint2"
"1577","Spns1"
"1578","Spns2"
"1579","Spon1"
"1580","Spon2"
"1581","Sppl2b"
"1582","Sprr1a"
"1583","Sprr2a1"
"1584","Sprr2a2"
"1585","Sprr2a3"
"1586","Sprr2b"
"1587","Sprr2d"
"1588","Sprr2e"
"1589","Sprr2f"
"1590","Sprr2h"
"1591","Sprr2i"
"1592","Sprr2j-ps"
"1593","Spsb1"
"1594","Spsb3"
"1595","Sqstm1"
"1596","Src"
"1597","Srebf2"
"1598","Srf"
"1599","Srm"
"1600","Srp9"
"1601","Srprb"
"1602","Srpx"
"1603","Srpx2"
"1604","Ssbp4"
"1605","Ssc5d"
"1606","Ssh3"
"1607","Ssna1"
"1608","Ssr2"
"1609","Ssr4"
"1610","Sssca1"
"1611","St3gal2"
"1612","St3gal3"
"1613","St6galnac6"
"1614","Stard3"
"1615","Stat3"
"1616","Steap3"
"1617","Stfa1"
"1618","Stfa2"
"1619","Stfa3"
"1620","Stk11"
"1621","Stk16"
"1622","Stk19"
"1623","Stk40"
"1624","Stom"
"1625","Stoml2"
"1626","Stra13"
"1627","Stx1b"
"1628","Sult2b1"
"1629","Sumf2"
"1630","Sumo3"
"1631","Sun2"
"1632","Surf1"
"1633","Surf4"
"1634","Svep1"
"1635","Syde1"
"1636","Syngr1"
"1637","Syngr2"
"1638","Synpo"
"1639","Sys1"
"1640","Syt8"
"1641","Szrd1"
"1642","Tacr1"
"1643","Taf1c"
"1644","Taf6l"
"1645","Tagln2"
"1646","Tap1"
"1647","Tapbp"
"1648","Tarbp2"
"1649","Tbc1d13"
"1650","Tbc1d16"
"1651","Tbc1d17"
"1652","Tbc1d20"
"1653","Tbc1d22a"
"1654","Tbcb"
"1655","Tbcc"
"1656","Tbkbp1"
"1657","Tbl3"
"1658","Tcf3"
"1659","Tcirg1"
"1660","Tcn2"
"1661","Tead2"
"1662","Tecr"
"1663","Tesk1"
"1664","Tex261"
"1665","Tex264"
"1666","Tfeb"
"1667","Tgfa"
"1668","Tgfb1"
"1669","Tgfb3"
"1670","Tgfbi"
"1671","Tgif1"
"1672","Tgm1"
"1673","Tgm2"
"1674","Thap7"
"1675","Thbs1"
"1676","Thbs2"
"1677","Thbs3"
"1678","Thbs4"
"1679","Them6"
"1680","Themis2"
"1681","Thra"
"1682","Thy1"
"1683","Tie1"
"1684","Timm13"
"1685","Timm22"
"1686","Timm50"
"1687","Timp1"
"1688","Timp2"
"1689","Tinagl1"
"1690","Tiparp"
"1691","Tm2d2"
"1692","Tm2d3"
"1693","Tm4sf1"
"1694","Tmbim1"
"1695","Tmbim6"
"1696","Tmc6"
"1697","Tmed3"
"1698","Tmem101"
"1699","Tmem102"
"1700","Tmem107"
"1701","Tmem11"
"1702","Tmem115"
"1703","Tmem119"
"1704","Tmem132a"
"1705","Tmem147"
"1706","Tmem150a"
"1707","Tmem158"
"1708","Tmem159"
"1709","Tmem161a"
"1710","Tmem176a"
"1711","Tmem189"
"1712","Tmem192"
"1713","Tmem198b"
"1714","Tmem203"
"1715","Tmem205"
"1716","Tmem214"
"1717","Tmem222"
"1718","Tmem234"
"1719","Tmem242"
"1720","Tmem256"
"1721","Tmem258"
"1722","Tmem259"
"1723","Tmem41a"
"1724","Tmem45b"
"1725","Tmem51"
"1726","Tmem54"
"1727","Tmem55b"
"1728","Tmem63a"
"1729","Tmem79"
"1730","Tmem86a"
"1731","Tmem9"
"1732","Tmem97"
"1733","Tmigd1"
"1734","Tmprss11b"
"1735","Tmprss11f"
"1736","Tmprss11g"
"1737","Tmprss4"
"1738","Tmsb10"
"1739","Tmub1"
"1740","Tmub2"
"1741","Tnc"
"1742","Tnf"
"1743","Tnfaip6"
"1744","Tnfrsf12a"
"1745","Tnfrsf1a"
"1746","Tnfrsf1b"
"1747","Tnfrsf23"
"1748","Tnfsf11"
"1749","Tnfsf12"
"1750","Tnn"
"1751","Tomm5"
"1752","Tomm6"
"1753","Tor4a"
"1754","Tpcn2"
"1755","Tpi1"
"1756","Tpra1"
"1757","Tpst2"
"1758","Trabd"
"1759","Traf4"
"1760","Trappc3"
"1761","Trappc6a"
"1762","Trappc9"
"1763","Trem1"
"1764","Trem2"
"1765","Trem3"
"1766","Trex2"
"1767","Trib1"
"1768","Trib3"
"1769","Trim16"
"1770","Trim28"
"1771","Trim3"
"1772","Trim35"
"1773","Trim41"
"1774","Trim47"
"1775","Trip6"
"1776","Trmt112"
"1777","Trmt2a"
"1778","Trmt61a"
"1779","Trp53i13"
"1780","Trpm4"
"1781","Trpv2"
"1782","Tsc2"
"1783","Tsc22d4"
"1784","Tsen34"
"1785","Tsfm"
"1786","Tspan11"
"1787","Tspan14"
"1788","Tspan4"
"1789","Tspan9"
"1790","Tsr3"
"1791","Tssc4"
"1792","Tst"
"1793","Ttc22"
"1794","Ttc7"
"1795","Ttll12"
"1796","Ttyh2"
"1797","Ttyh3"
"1798","Tuba1a"
"1799","Tuba1b"
"1800","Tuba1c"
"1801","Tuba8"
"1802","Tubb2a"
"1803","Tubb3"
"1804","Tubb5"
"1805","Tubb6"
"1806","Tubg1"
"1807","Tufm"
"1808","Tusc2"
"1809","Twf2"
"1810","Twist1"
"1811","Twist2"
"1812","Txn2"
"1813","Txndc5"
"1814","Tyrobp"
"1815","U2af2"
"1816","Uap1l1"
"1817","Uba52"
"1818","Ubac2"
"1819","Ubald2"
"1820","Ube2g2"
"1821","Ube2j2"
"1822","Ube2m"
"1823","Ube2s"
"1824","Ube2v1"
"1825","Ube2z"
"1826","Ubtd1"
"1827","Uck1"
"1828","Uck2"
"1829","Ucp2"
"1830","Ulk4"
"1831","Unc119b"
"1832","Unc5b"
"1833","Unc93b1"
"1834","Uox"
"1835","Upp1"
"1836","Uqcr11"
"1837","Uqcrq"
"1838","Urah"
"1839","Urb1"
"1840","Usb1"
"1841","Usf1"
"1842","Usf2"
"1843","Usmg5"
"1844","Usp43"
"1845","Usp5"
"1846","Vamp8"
"1847","Vash1"
"1848","Vasn"
"1849","Vasp"
"1850","Vcam1"
"1851","Vps18"
"1852","Vps37c"
"1853","Vps51"
"1854","Vps72"
"1855","Vsir"
"1856","Vwa1"
"1857","Wbp1"
"1858","Wbscr16"
"1859","Wbscr17"
"1860","Wdr1"
"1861","Wdr18"
"1862","Wdr4"
"1863","Wdr6"
"1864","Wdr74"
"1865","Wdtc1"
"1866","Wfdc1"
"1867","Wfdc21"
"1868","Wipf1"
"1869","Wisp1"
"1870","Wisp2"
"1871","Wnt10a"
"1872","Wnt11"
"1873","Wnt4"
"1874","Wnt5b"
"1875","Wnt7b"
"1876","Wnt9a"
"1877","Wrap73"
"1878","Wsb2"
"1879","Wtip"
"1880","Xpnpep1"
"1881","Xrcc2"
"1882","Xylt2"
"1883","Ydjc"
"1884","Yif1a"
"1885","Yif1b"
"1886","Yipf2"
"1887","Yipf3"
"1888","Ypel3"
"1889","Zbed3"
"1890","Zc3h12a"
"1891","Zdhhc18"
"1892","Zdhhc4"
"1893","Zdhhc7"
"1894","Zfhx4"
"1895","Zfp219"
"1896","Zfp385a"
"1897","Zfp521"
"1898","Zfp593"
"1899","Zfp651"
"1900","Zfp687"
"1901","Zfp703"
"1902","Zfp768"
"1903","Zfp787"
"1904","Zfp9"
"1905","Zfp972"
"1906","Zfpl1"
"1907","Znhit1"
"1908","Znhit2"
"1909","Zyx"
