"","x"
"312","Clec4e"
"313","Clec4n"
"314","Clic3"
"315","Clip3"
"316","Cln6"
"317","Clptm1"
"318","Cmtm3"
"319","Cmtm7"
"320","Cndp2"
"321","Cnfn"
"322","Cnn2"
"323","Cnn3"
"324","Cnppd1"
"325","Cnpy3"
"326","Cog8"
"327","Col11a1"
"328","Col12a1"
"329","Col14a1"
"330","Col15a1"
"331","Col16a1"
"332","Col18a1"
"333","Col1a1"
"334","Col1a2"
"335","Col23a1"
"336","Col24a1"
"337","Col27a1"
"338","Col3a1"
"339","Col4a1"
"340","Col4a2"
"341","Col5a1"
"342","Col5a2"
"343","Col5a3"
"344","Col6a1"
"345","Col6a2"
"346","Col6a3"
"347","Col7a1"
"348","Col8a1"
"349","Col8a2"
"350","Commd1"
"351","Commd5"
"352","Commd9"
"353","Comp"
"354","Comtd1"
"355","Coprs"
"356","Copz2"
"357","Coq4"
"358","Coq8b"
"359","Coro1a"
"360","Cotl1"
"361","Cox14"
"362","Cox16"
"363","Cox5b"
"364","Cox6a1"
"365","Cox6b1"
"366","Cox6c"
"367","Cox7a2"
"368","Cox7c"
"369","Cox8a"
"370","Cpe"
"371","Cpn1"
"372","Cpne2"
"373","Cpxm1"
"374","Cpxm2"
"375","Cpz"
"376","Crabp1"
"377","Crct1"
"378","Creb3l1"
"379","Creld2"
"380","Crip1"
"381","Crispld2"
"382","Crlf1"
"383","Crlf2"
"384","Crtap"
"385","Cry1"
"386","Csf1r"
"387","Csf2rb"
"388","Csf3"
"389","Csgalnact1"
"390","Csk"
"391","Csnk1g2"
"392","Csrp1"
"393","Csrp2"
"394","Cst3"
"395","Cst6"
"396","Csta1"
"397","Ctdnep1"
"398","Ctdsp1"
"399","Cthrc1"
"400","Ctsa"
"401","Ctsb"
"402","Ctsc"
"403","Ctsf"
"404","Ctsh"
"405","Ctsk"
"406","Ctss"
"407","Ctsz"
"408","Ctu1"
"409","Ctu2"
"410","Cuedc2"
"411","Cul7"
"412","Cul9"
"413","Cuta"
"414","Cwh43"
"415","Cxcl1"
"416","Cxcl14"
"417","Cxcl16"
"418","Cxcl2"
"419","Cxcl3"
"420","Cxcl5"
"421","Cyb561"
"422","Cyb561d2"
"423","Cyba"
"424","Cyc1"
"425","Cygb"
"426","Cyhr1"
"427","Cyp4f16"
"428","Cyp4f18"
"429","Cysrt1"
"430","Cyth2"
"431","Cyth4"
"432","D17Wsu92e"
"433","D8Ertd738e"
"434","Dact3"
"435","Daglb"
"436","Dapk3"
"437","Dbn1"
"438","Dbp"
"439","Dcaf15"
"440","Dcakd"
"441","Dclk1"
"442","Dctn2"
"443","Dctn3"
"444","Dctpp1"
"445","Dcxr"
"446","Ddah1"
"447","Ddit4"
"448","Ddost"
"449","Ddx41"
"450","Ddx54"
"451","Ddx56"
"452","Deaf1"
"453","Dedd2"
"454","Defb1"
"455","Defb14"
"456","Defb6"
"457","Degs2"
"458","Dgat1"
"459","Dgat2"
"460","Dhcr24"
"461","Dhcr7"
"462","Dhrs13"
"463","Dhrs7b"
"464","Dkk3"
"465","Dkkl1"
"466","Dmwd"
"467","Dnajb5"
"468","Dnal4"
"469","Dnase1l3"
"470","Dnlz"
"471","Dnpep"
"472","Dok1"
"473","Dok4"
"474","Dolk"
"475","Dolpp1"
"476","Dpagt1"
"477","Dpf1"
"478","Dpm3"
"479","Dpp3"
"480","Drap1"
"481","Dsc2"
"482","Dsg3"
"483","Dtnbp1"
"484","Dtx2"
"485","Dusp6"
"486","Dusp7"
"487","E130208F15Rik"
"488","E130309D02Rik"
"489","E2f7"
"490","E2f8"
"491","Ebp"
"492","Ebpl"
"493","Ece2"
"494","Ech1"
"495","Ecm1"
"496","Edf1"
"497","Edil3"
"498","Eef1g"
"499","Efemp2"
"500","Efhd2"
"501","Egfl7"
"502","Egln2"
"503","Egln3"
"504","Ehd1"
"505","Ehmt2"
"506","Eif1b"
"507","Eif2b2"
"508","Eif3f"
"509","Eif3i"
"510","Eif3k"
"511","Eif4ebp1"
"512","Eif5a"
"513","Eif6"
"514","Elk1"
"515","Elof1"
"516","Elovl1"
"517","Emc10"
"518","Emc6"
"519","Emc8"
"520","Emc9"
"521","Emd"
"522","Emid1"
"523","Emilin1"
"524","Emilin3"
"525","Emp3"
"526","Endog"
"527","Endou"
"528","Engase"
"529","Eno1"
"530","Eno2"
"531","Enpp1"
"532","Entpd2"
"533","Entpd7"
"534","Epgn"
"535","Epha2"
"536","Epha3"
"537","Ephb2"
"538","Ephb3"
"539","Ephb4"
"540","Erf"
"541","Ergic3"
"542","Eri3"
"543","Erp29"
"544","Errfi1"
"545","Esd"
"546","Esyt1"
"547","Etfb"
"548","Eva1b"
"549","Exosc4"
"550","Exosc5"
"551","Ext1"
"552","Extl3"
"553","Faap100"
"554","Faap20"
"555","Fads3"
"556","Fahd2a"
"557","Fam102a"
"558","Fam104a"
"559","Fam109a"
"560","Fam109b"
"561","Fam110a"
"562","Fam132a"
"563","Fam134a"
"564","Fam167a"
"565","Fam171a2"
"566","Fam173a"
"567","Fam195b"
"568","Fam207a"
"569","Fam214b"
"570","Fam25c"
"571","Fam49b"
"572","Fam53a"
"573","Fam83a"
"574","Fam83g"
"575","Fam83h"
"576","Fam89a"
"577","Fars2"
"578","Farsa"
"579","Fasn"
"580","Fastk"
"581","Fau"
"582","Fbln1"
"583","Fbln2"
"584","Fbln5"
"585","Fbln7"
"586","Fbn2"
"587","Fbxl15"
"588","Fbxl6"
"589","Fbxo10"
"590","Fbxo31"
"591","Fbxo46"
"592","Fbxo6"
"593","Fbxw4"
"594","Fbxw8"
"595","Fcgr2b"
"596","Fcgrt"
"597","Fdx1l"
"598","Fgfrl1"
"599","Fhl3"
"600","Fibin"
"601","Fibp"
"602","Fjx1"
"603","Fkbp10"
"604","Fkbp11"
"605","Fkbp1a"
"606","Fkbp4"
"607","Flnb"
"608","Flnc"
"609","Flot1"
"610","Flot2"
"611","Flrt3"
"612","Fmnl3"
"613","Fmod"
"614","Fndc1"
"615","Fndc10"
"616","Fosl1"
"617","Foxp4"
"618","Fpgs"
"619","Fpr2"
"620","Frat1"
"621","Frmd8"
"622","Fscn1"
"623","Fst"
"624","Fstl1"
"625","Ftl1"
"626","Fuca1"
"627","Fuom"
"628","Furin"
"629","Fxyd6"
"630","Fyco1"
"631","Fzd2"
"632","Fzr1"
"633","Gaa"
"634","Gabarap"
"635","Gadd45b"
"636","Gadd45gip1"
"637","Gal3st1"
"638","Gale"
"639","Galk1"
"640","Galns"
"641","Galnt10"
"642","Galt"
"643","Gapdh"
"644","Gas1"
"645","Gas2"
"646","Gas6"
"647","Gatsl2"
"648","Gatsl3"
"649","Gcat"
"650","Gch1"
"651","Gcn1l1"
"652","Gemin7"
"653","Get4"
"654","Gfpt2"
"655","Gga1"
"656","Ggt5"
"657","Ggt6"
"658","Gjb2"
"659","Gjb3"
"660","Gjb5"
"661","Gk"
"662","Glb1"
"663","Glipr2"
"664","Glis2"
