,GSM5429653_T1,GSM5429654_T2,GSM5429655_T3,GSM5429656_T-7P,GSM5429657_T-7V,GSM5429658_T-14P,GSM5429659_T-14V,GSM5429660_T-30P,GSM5429661_T-30V
Acox1,651,163,52,9,78,25,47,16,22
Ten1,813,110,32,15,65,19,25,16,18
Evpl,3,1,3,0,1,0,0,1,2
Srp68,835,97,25,5,50,29,23,13,8
Galr2,10,0,0,0,1,0,4,2,1
Exoc7,643,64,22,3,36,13,19,9,9
Foxj1,4,2,0,0,0,4,2,0,3
Rnf157,121,7,7,0,3,1,4,0,2
Ubald2,1455,158,49,26,143,60,58,44,38
Qrich2,0,0,0,0,0,0,0,0,0
Prpsap1,802,87,35,7,63,19,28,6,11
Gm29292,6,2,0,0,0,0,0,0,3
Sphk1,917,227,76,14,52,25,32,22,9
Ube2o,355,55,14,8,52,9,35,7,18
Rhbdf2,90,4,2,5,13,9,5,10,4
Cygb,1992,650,198,13,469,150,252,90,77
Prcd,112,14,4,0,8,4,13,4,2
1810032O08Rik,214,42,13,15,29,15,22,17,10
St6galnac2,10,0,1,1,5,2,0,1,3
BC018473,0,0,0,0,1,0,0,2,0
St6galnac1,0,0,0,0,2,1,0,0,0
Mxra7,2769,409,140,40,243,111,147,75,63
Jmjd6,665,189,43,36,103,46,40,41,34
Mettl23,1791,198,62,22,110,51,52,33,28
Srsf2,4674,1118,349,119,598,157,283,136,175
Mfsd11,909,129,41,10,58,42,37,9,21
Mgat5b,3,0,0,0,0,1,0,0,0
Snhg20,185,14,9,10,21,17,6,11,15
Gm11730,2,0,0,0,0,0,0,0,0
Sec14l1,1584,210,48,11,89,36,42,16,27
Sept9,1878,196,62,23,85,61,33,25,21
Gm16045,1,1,1,0,0,0,0,1,0
Gm11729,4,0,0,0,0,0,1,0,0
Tnrc6c,1666,216,54,28,117,65,82,36,48
Tmc6,86,11,2,1,9,4,2,2,0
Tmc8,0,1,0,1,1,1,0,1,0
6030468B19Rik,0,0,0,0,0,0,0,0,0
Syngr2,668,99,23,6,46,18,20,11,14
Tk1,107,19,23,5,5,5,2,1,1
Afmid,6,1,0,0,0,0,0,3,0
Birc5,261,56,40,28,49,28,23,0,4
Tha1,50,4,0,0,5,2,2,1,3
Gm11725,0,1,0,0,4,1,1,0,1
Socs3,5645,3705,1338,263,1807,444,1226,219,337
Pgs1,624,105,41,9,65,26,26,13,12
Dnah17,6,1,0,0,2,0,0,0,1
Gm11738,0,0,0,0,3,0,0,0,0
Cyth1,286,30,14,11,27,6,16,6,9
Usp36,409,80,26,14,38,18,28,7,26
Timp2,40742,5067,1669,285,2726,724,1205,462,631
Cep295nl,118,13,2,3,10,4,3,1,0
Lgals3bp,1332,504,143,10,193,47,73,37,20
Cant1,787,84,27,12,52,11,23,9,10
C1qtnf1,958,112,36,8,74,21,23,14,15
Gm11747,13,1,0,0,2,0,0,1,0
Engase,212,13,5,1,14,2,11,2,5
Rbfox3,11,4,0,0,0,2,2,1,1
Cbx2,59,2,1,1,2,0,3,2,0
Cbx8,84,14,1,3,11,5,3,5,5
Gm26508,4,1,0,0,0,0,0,1,0
Cbx4,298,125,29,13,54,21,33,25,21
Tbc1d16,175,17,7,4,19,13,7,4,6
Gm26888,0,0,0,0,0,0,0,0,0
Ccdc40,1,0,0,1,0,4,0,0,0
Gaa,2282,263,86,17,160,62,70,34,46
Eif4a3,1391,168,48,17,96,29,50,30,27
Card14,45,8,1,0,1,0,0,0,0
Sgsh,339,36,10,3,19,8,6,5,5
Slc26a11,275,23,4,4,21,10,7,7,10
Rnf213,562,214,65,4,95,35,59,12,14
Endov,166,16,4,4,20,3,5,3,3
Nptx1,6,13,1,1,2,1,0,2,1
Rptor,329,35,10,9,14,11,8,4,5
Rptoros,0,0,0,0,0,0,0,0,0
Chmp6,606,79,20,6,45,14,10,9,9
Gm11767,3,1,0,0,0,0,0,2,1
Baiap2,752,279,91,29,192,55,88,30,41
