,GSM5429653_T1,GSM5429654_T2,GSM5429655_T3,GSM5429656_T-7P,GSM5429657_T-7V,GSM5429658_T-14P,GSM5429659_T-14V,GSM5429660_T-30P,GSM5429661_T-30V
Xkr4,13,3,0,0,1,1,1,0,0
Rp1,5,0,0,0,0,3,0,0,0
Sox17,0,0,0,0,0,0,0,0,0
Mrpl15,1238,148,51,11,70,25,31,23,26
Lypla1,888,102,40,9,45,12,13,10,10
Gm37988,1,0,0,0,1,0,0,0,0
Tcea1,1890,295,101,31,156,61,81,48,55
Rgs20,0,2,0,0,2,0,0,0,0
Gm16041,2,0,0,0,0,0,0,0,0
Atp6v1h,1043,427,111,16,133,60,57,15,34
Rb1cc1,2248,274,79,27,140,44,77,44,39
4732440D04Rik,68,24,10,4,13,7,9,6,5
St18,2,0,0,0,0,0,0,0,0
Pcmtd1,2349,255,58,19,122,54,41,41,39
Gm26901,24,2,0,0,0,0,1,0,0
Sntg1,4,2,4,0,2,0,0,1,0
Rrs1,527,128,29,6,54,14,32,16,15
Adhfe1,39,8,0,1,11,1,7,1,2
Mybl1,30,8,3,2,7,2,2,1,0
Vcpip1,739,89,39,12,62,17,37,18,5
1700034P13Rik,1,1,0,0,0,0,0,0,0
Sgk3,301,27,7,5,17,9,5,6,7
Mcmdc2,11,5,6,0,5,2,0,1,3
Snhg6,1415,323,81,31,141,41,43,32,37
Tcf24,18,3,3,0,1,1,0,3,0
Ppp1r42,1,0,0,0,1,0,0,0,0
Cops5,1354,185,65,22,65,33,29,28,29
Cspp1,815,95,23,14,74,27,26,10,15
Arfgef1,1393,170,42,13,80,41,43,24,33
Cpa6,112,6,2,3,3,7,3,2,5
Prex2,728,35,11,19,88,21,18,33,37
A830018L16Rik,2,1,1,0,0,0,0,0,0
Sulf1,1090,144,77,9,114,45,49,49,40
Slco5a1,84,5,0,0,7,0,3,4,4
Prdm14,1,0,0,0,0,0,0,1,1
Ncoa2,854,98,31,11,38,20,26,18,15
Tram1,3549,465,118,27,250,86,94,50,50
Lactb2,291,28,9,4,14,7,14,10,6
Eya1,58,1,0,1,5,3,4,2,2
Gm9947,4,3,0,0,5,1,2,0,0
Msc,29,6,0,2,2,6,6,1,6
Terf1,313,42,8,8,30,17,17,6,9
Sbspon,22,0,1,4,7,7,4,3,2
4930444P10Rik,10,0,1,0,1,0,0,0,0
Rpl7,47691,6570,1910,539,2730,909,1134,703,973
Rdh10,802,152,82,11,129,24,70,14,11
Stau2,232,25,7,4,12,2,5,9,10
Ube2w,1052,105,31,12,76,26,25,27,22
Eloc,2303,540,179,62,308,81,116,72,83
Tmem70,544,85,27,8,39,14,20,17,9
Ly96,555,97,23,3,38,8,10,10,8
Jph1,24,5,2,0,6,4,0,1,0
Pi15,1416,25,16,2,33,3,12,14,24
Gm28154,5,0,0,0,0,0,0,0,0
Gm16070,1,0,0,0,0,0,0,1,0
Crispld1,130,4,3,6,22,18,7,15,13
Tfap2b,2,0,0,0,0,2,0,0,0
Pkhd1,0,0,0,0,0,0,0,0,0
Gm28653,1,0,0,1,1,0,1,1,0
Il17a,1,0,0,0,0,2,2,2,3
Il17f,0,0,0,0,0,3,2,0,0
Mcm3,266,29,7,2,13,10,4,4,7
6720483E21Rik,0,0,0,0,0,1,0,0,0
Paqr8,55,5,2,3,2,6,8,5,3
Efhc1,44,5,0,0,4,0,3,0,0
Tram2,849,110,28,4,58,24,31,10,9
Tmem14a,219,26,4,3,17,16,8,5,2
Gsta3,321,8,2,0,4,1,8,3,3
Gm28836,2,0,0,0,1,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0
Kcnq5,1,0,0,0,0,0,0,0,0
Gm26580,1,0,0,0,0,0,0,0,0
Rims1,13,0,0,0,2,0,0,0,0
Gm29107,22,12,9,1,10,5,10,0,0
Ogfrl1,210,44,13,4,22,9,12,6,7
B3gat2,0,0,1,0,0,0,0,0,1
Smap1,2248,248,71,32,122,63,64,43,48
Sdhaf4,750,117,43,14,88,26,25,7,23
Fam135a,398,23,13,2,17,14,8,13,10
Col9a1,6,0,0,0,0,3,0,0,1
Col19a1,0,0,0,0,0,0,0,1,1
Lmbrd1,1237,189,57,15,85,19,51,33,22
Adgrb3,4,1,0,1,2,3,1,2,2
Phf3,1621,231,62,22,144,51,58,40,44
Ptp4a1,3718,1520,504,98,728,191,309,101,147
4931428L18Rik,0,0,0,0,0,0,0,0,0
Khdrbs2,1,0,0,0,1,0,1,1,1
Prim2,228,37,8,5,15,6,12,8,8
Rab23,656,51,13,7,35,6,12,6,10
Bag2,188,34,10,8,12,7,11,29,10
Zfp451,1136,205,72,17,91,32,39,17,16
Bend6,132,11,11,0,7,2,5,1,0
Dst,3587,351,120,56,235,157,113,107,89
Gm37233,22,6,1,2,4,1,1,1,0
Ccdc115,432,44,19,5,28,8,5,13,11
Imp4,560,80,25,12,40,11,23,8,11
Ptpn18,13,13,13,3,3,4,4,4,0
4930568A12Rik,1,0,0,0,0,0,0,0,0
Arhgef4,6,0,0,0,0,0,1,0,0
Gm38336,11,3,1,1,1,0,0,0,1
Fam168b,1349,157,58,19,75,29,53,16,24
Plekhb2,227,26,15,6,20,8,7,6,3
1110002O04Rik,6,0,0,0,0,0,0,0,0
Hs6st1,541,80,25,9,41,27,26,15,17
Gm33280,1,0,0,0,0,0,0,0,1
Uggt1,981,148,49,15,66,19,26,12,14
Neurl3,8,1,4,1,2,4,1,3,3
Arid5a,426,293,95,20,122,41,93,31,32
4930403P22Rik,12,41,10,1,21,7,9,5,4
Kansl3,673,87,27,10,53,21,20,13,15
Fer1l5,0,1,0,0,3,4,0,0,1
Lman2l,97,17,13,13,19,9,5,11,7
Cnnm4,83,34,9,9,27,9,5,5,3
Cnnm3,361,28,12,7,20,7,10,5,3
Gm38033,2,1,0,1,0,0,0,1,2
Ankrd23,6,2,1,0,0,0,1,1,0
Gm42417,2,0,0,0,0,0,0,0,0
Ankrd39,390,33,15,6,25,10,15,6,20
Sema4c,481,80,23,3,60,20,30,9,17
Fam178b,10,5,1,0,2,6,1,1,3
Cox5b,6538,1041,339,149,591,166,182,139,157
Actr1b,1278,150,43,21,60,47,42,21,20
4933424G06Rik,6,1,1,0,1,0,0,0,0
Gm33533,0,0,0,0,0,0,0,0,0
Zap70,3,0,0,0,0,0,1,1,0
Tmem131,1709,165,55,12,89,36,38,18,24
Vwa3b,31,4,1,1,1,1,2,0,0
Inpp4a,363,41,9,7,23,21,17,10,17
Coa5,882,96,16,8,38,16,24,11,14
Unc50,1115,143,50,13,82,41,33,29,40
Mgat4a,117,24,9,2,11,1,7,1,6
2010300C02Rik,1,0,0,0,0,0,0,0,0
Tsga10,132,11,3,5,11,6,5,1,2
Lipt1,40,4,0,0,2,1,0,0,0
Mitd1,398,97,29,10,68,13,27,11,16
Mrpl30,2752,362,117,44,199,64,73,50,55
Txndc9,1503,151,49,32,115,29,45,32,34
Eif5b,2571,364,116,52,199,58,93,74,59
Rev1,466,60,18,8,40,15,19,7,16
Aff3,1193,55,14,6,44,10,22,10,15
Gm16152,19,0,0,0,2,0,3,0,1
Lonrf2,23,3,1,0,3,3,2,1,1
Chst10,55,9,3,0,7,5,0,0,0
Pdcl3,1566,208,61,27,124,60,41,47,28
Npas2,299,21,11,1,25,8,10,6,7
Rpl31,12850,2359,725,178,970,334,352,224,277
Tbc1d8,38,2,4,1,6,5,3,2,0
Cnot11,339,43,24,9,28,9,10,10,6
Rnf149,2057,249,70,21,97,46,47,31,25
Creg2,4,0,1,0,0,0,1,1,0
Rfx8,1,2,0,0,1,0,3,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0
Map4k4,4867,761,192,61,347,189,163,75,125
Il1r2,14417,1239,539,18,360,62,112,34,120
Gm16894,95,5,3,0,0,1,0,1,2
Il1r1,3779,577,153,14,139,51,111,37,57
Il1rl2,1522,214,65,2,108,21,28,28,26
Il1rl1,2302,265,116,30,174,14,17,19,22
Il18r1,2,4,6,0,18,0,1,3,1
Il18rap,2,2,0,0,2,0,0,0,0
Slc9a4,1,0,0,0,2,0,0,0,0
Slc9a2,0,0,0,0,0,0,0,0,0
Mfsd9,47,2,2,1,5,0,1,0,1
Tmem182,0,0,0,0,0,0,0,0,0
Pantr1,6,1,0,0,1,0,0,0,0
Pou3f3,15,5,0,0,1,0,1,1,0
Mrps9,607,56,18,12,39,18,21,20,20
Gpr45,1,0,0,2,3,0,1,3,0
Tgfbrap1,396,50,12,7,22,8,8,7,12
8430432A02Rik,3,0,0,0,0,0,0,0,0
AI597479,175,15,8,1,9,3,4,2,5
Fhl2,246,57,26,6,29,15,17,12,2
Nck2,122,40,10,2,25,7,5,4,3
1500015O10Rik,267,17,1,0,21,6,5,1,4
Gm29155,2,0,0,0,0,0,0,0,0
Gm29156,2,0,0,0,0,0,1,0,0
Uxs1,718,129,31,17,63,17,25,22,13
Tpp2,1291,230,68,15,106,35,39,25,29
Mettl21c,1,0,0,0,0,0,1,0,1
Gm8251,11,12,3,8,11,7,5,1,0
Tex30,222,63,31,24,43,11,11,6,14
Kdelc1,443,80,25,9,36,27,18,9,7
Bivm,162,8,5,2,9,5,4,0,1
Ercc5,462,35,12,5,24,10,12,12,10
Mettl21e,1,0,0,0,0,0,0,1,0
Gulp1,1221,112,43,17,68,40,54,18,31
Col3a1,533966,27693,6577,2487,20213,10168,10161,2607,5216
Col5a2,41737,2543,536,326,1817,890,703,241,358
Wdr75,557,71,19,2,34,9,8,1,2
Gm5269,0,0,0,0,0,0,0,0,0
Slc40a1,113,3,0,11,4,7,7,0,13
Dnah7b,14,4,0,0,3,0,1,0,1
Dnah7c,1,0,0,0,0,0,0,0,0
Slc39a10,498,36,12,5,43,11,7,8,6
Gm28151,12,4,0,0,1,1,1,0,1
Gm28826,0,1,2,0,0,0,0,0,0
4933411E06Rik,2,7,2,1,3,0,3,0,1
Tmeff2,290,140,36,2,160,20,54,14,20
Gm28322,1,0,1,0,0,0,0,0,0
Gm29325,3,3,0,0,0,0,0,0,0
9330175M20Rik,0,0,0,0,1,0,1,0,0
Cavin2,348,30,15,2,28,4,7,2,5
1700072G22Rik,5,2,3,0,1,0,1,1,0
Nabp1,154,94,28,1,15,12,18,10,8
Gm17767,0,0,0,0,0,0,0,0,0
Gm28055,2,0,0,0,0,0,0,0,0
Myo1b,558,47,11,21,51,38,18,23,31
Stat4,0,0,0,0,0,0,0,2,0
Gm31812,5,0,0,0,1,0,0,1,2
Stat1,480,99,15,8,61,22,27,13,13
Gls,2920,816,265,74,438,133,200,99,142
Nab1,1296,254,63,19,81,16,51,15,17
Nemp2,40,3,0,1,5,2,2,0,2
Mfsd6,272,20,6,2,4,10,6,2,4
Inpp1,417,41,13,6,22,5,23,11,10
Hibch,383,51,12,4,24,6,9,9,7
1700019D03Rik,370,16,18,1,28,3,7,3,9
Mstn,10,0,0,0,0,0,0,0,0
Pms1,48,0,3,0,4,1,3,3,0
Ormdl1,185,18,5,3,7,5,7,3,0
Osgepl1,152,32,5,1,6,2,4,4,0
Gm28551,1,0,0,0,0,0,0,1,0
Asnsd1,642,88,31,2,36,15,15,12,12
Dnah7a,0,0,0,0,0,0,0,0,0
Stk17b,350,81,26,12,52,20,35,15,13
Hecw2,545,58,15,11,25,12,13,14,10
Ccdc150,1,0,0,0,0,1,0,0,0
Gtf3c3,286,23,11,4,21,9,6,2,4
Pgap1,150,14,4,0,6,5,6,1,5
Ankrd44,322,25,11,4,25,11,18,6,11
Sf3b1,4174,869,236,97,457,177,231,132,157
Coq10b,830,425,130,44,207,62,129,48,39
Hspd1,3279,765,295,102,425,217,156,352,181
Hspe1,7094,1476,513,221,945,388,269,651,401
Mob4,1351,178,66,30,147,44,46,47,39
Rftn2,880,64,17,22,57,9,21,12,9
Gm10561,132,15,2,5,18,6,9,8,10
Mars2,49,20,6,2,16,3,2,0,5
Boll,0,0,0,0,0,0,0,0,0
Plcl1,196,20,5,1,14,7,5,4,4
Satb2,64,6,2,1,4,3,0,3,4
4930558J18Rik,0,0,0,1,0,0,0,0,0
1700066M21Rik,104,6,6,2,8,3,0,3,2
Tyw5,222,15,7,2,7,6,2,4,10
Maip1,525,45,19,3,38,14,15,9,12
Spats2l,330,41,9,6,21,15,23,8,7
Kctd18,292,22,13,2,21,8,5,5,5
Sgo2a,49,1,0,2,7,7,1,0,1
Aox1,231,19,8,0,13,0,6,5,1
Aox3,222,41,5,0,15,1,4,2,4
Aox4,0,2,0,0,1,0,0,0,0
Aox2,1,1,0,0,1,0,1,0,1
Bzw1,3188,555,183,52,250,99,109,46,49
Clk1,2772,816,294,102,555,143,267,131,137
Ppil3,556,75,30,10,40,10,16,14,8
Nif3l1,240,17,6,3,9,4,5,4,5
Orc2,344,31,16,5,14,10,5,6,6
Gm15834,10,0,0,0,1,0,0,0,1
Fam126b,483,48,14,8,27,10,12,10,11
Ndufb3,2383,354,120,41,214,83,72,59,78
Als2cr12,3,1,0,1,1,0,0,0,0
Cflar,1720,264,60,22,125,56,66,41,68
Casp8,556,72,25,7,29,16,17,8,11
Trak2,524,88,29,5,56,18,29,12,13
Stradb,155,13,9,5,11,7,5,5,5
Tmem237,460,74,26,9,37,17,17,7,12
G730003C15Rik,12,2,0,1,0,0,0,1,0
Mpp4,1,1,1,0,0,0,1,0,0
Als2,92,20,2,1,10,1,9,0,2
Cdk15,64,4,3,1,0,1,5,1,2
Fzd7,393,44,10,3,32,16,13,5,3
Gm973,22,0,1,0,1,0,1,0,0
Sumo1,3083,569,178,92,361,130,153,89,102
Nop58,1775,593,233,72,385,145,177,83,90
Bmpr2,2586,237,75,24,161,65,60,45,51
Fam117b,524,47,16,7,42,12,10,14,8
Ica1l,11,2,0,0,0,0,0,0,0
Wdr12,270,63,27,5,31,12,8,10,28
Carf,204,8,7,0,10,5,4,6,4
Nbeal1,1956,243,67,18,123,56,58,29,56
Cyp20a1,1253,150,63,11,71,35,29,13,25
Abi2,716,79,23,16,33,19,19,17,11
Raph1,705,211,84,24,99,45,69,29,25
Cd28,2,0,0,0,0,0,0,0,0
Gm11579,0,0,0,0,0,0,0,0,0
2310016D23Rik,0,0,0,0,0,0,0,0,0
Ctla4,0,0,0,0,0,2,2,0,0
Icos,11,0,1,1,3,0,3,1,1
Pard3b,1745,131,40,13,68,32,28,25,22
Nrp2,2011,136,81,15,79,27,53,21,29
Gm29083,1,1,0,0,0,1,0,0,0
Gm4208,4,0,0,0,2,0,0,0,0
Ino80d,1064,169,57,25,86,39,47,28,27
Ino80dos,22,9,2,4,6,9,3,5,4
Gm20342,226,39,7,6,21,9,10,15,12
Ndufs1,963,94,32,14,54,21,19,13,15
Eef1b2,27995,4138,1150,329,1751,514,616,469,586
Gpr1,420,47,23,1,10,2,0,4,3
Zdbf2,9,9,3,0,4,1,0,0,3
Adam23,495,117,20,1,47,33,18,13,6
Fastkd2,143,30,16,3,6,2,2,5,2
Klf7,1814,219,70,39,174,41,91,88,46
Gm26649,5,1,0,0,0,0,2,2,0
Gm13748,0,0,0,0,0,0,0,0,0
Creb1,902,123,32,20,76,16,34,24,17
Mettl21a,390,35,9,4,17,14,16,2,7
Ccnyl1,172,62,27,9,41,17,29,7,6
Fzd5,118,55,16,8,27,3,10,5,4
Plekhm3,215,17,10,2,12,3,8,4,4
Akr1cl,131,7,1,0,5,0,0,2,1
Crygd,19,1,0,0,0,0,1,0,1
D630023F18Rik,1,1,0,0,1,0,0,0,0
Idh1,2853,276,83,20,126,40,37,24,40
Pikfyve,928,74,37,10,51,24,23,15,14
Map2,30,0,1,4,6,7,0,1,6
Unc80,0,0,0,0,0,0,0,0,0
Rpe,569,62,25,6,43,11,17,8,15
Kansl1l,332,146,44,16,86,26,41,23,17
Acadl,1767,272,84,32,139,31,47,54,49
Myl1,0,0,0,1,3,0,0,2,1
Lancl1,492,56,15,6,31,16,19,13,15
Cps1,0,0,0,0,0,0,0,0,0
Gm29113,0,0,0,0,0,0,0,0,0
Ikzf2,259,40,12,6,12,10,8,4,9
Bard1,17,5,1,1,2,1,0,0,0
Abca12,0,0,0,0,0,0,0,0,0
Atic,662,110,32,10,50,19,21,16,27
Fn1,40547,812,472,179,1873,596,553,195,371
Apol7d,23,2,0,0,1,0,0,0,0
4933417E11Rik,3,0,0,0,0,0,0,0,0
Gm4319,0,0,0,0,0,0,0,0,0
Mreg,3,5,0,1,0,1,1,0,0
D230017M19Rik,28,2,0,0,1,0,3,0,4
Pecr,301,36,6,3,15,5,5,3,14
Tmem169,6,1,0,0,0,0,1,0,3
Xrcc5,225,32,12,3,19,7,9,1,4
Smarcal1,188,17,6,0,7,4,13,3,9
Rpl37a,71360,14387,4255,1218,7171,2103,2521,1560,2020
Igfbp2,8852,234,19,55,295,297,248,17,305
Igfbp5,18574,1201,506,98,1607,549,650,501,737
C530043A13Rik,2,0,0,0,0,1,0,0,0
Tns1,2455,201,65,11,116,58,60,35,51
Rufy4,2,0,0,0,1,0,0,0,0
Cxcr2,9,2,0,0,3,2,0,11,15
Cxcr1,0,0,0,0,0,0,0,0,0
Arpc2,6465,1000,329,97,545,192,206,121,141
Aamp,2014,307,99,47,209,59,91,48,64
Pnkd,940,122,37,19,72,35,33,22,20
Tmbim1,1662,341,96,22,179,52,78,38,53
Catip,34,5,1,2,5,4,2,0,1
Slc11a1,6,4,1,1,3,1,2,0,0
Ctdsp1,1150,158,56,20,100,49,46,18,32
Vil1,1,3,0,0,0,0,0,0,0
Usp37,281,94,23,17,50,12,19,10,14
Cnot9,299,26,8,3,16,3,6,3,4
Plcd4,1,1,0,0,2,0,0,0,0
Zfp142,237,64,20,3,37,6,14,3,6
Bcs1l,158,30,11,4,16,9,3,6,6
Rnf25,240,17,11,2,20,6,13,9,5
Stk36,28,6,1,0,4,1,2,1,0
Ttll4,262,33,11,11,26,9,18,7,10
Cyp27a1,497,40,17,2,18,6,12,3,5
Prkag3,5,0,0,1,0,1,0,0,0
Wnt6,94,2,2,12,22,15,7,3,5
Wnt10a,36,0,1,16,2,1,2,2,1
Cdk5r2,1,0,0,0,0,0,0,0,0
Ihh,0,0,0,0,2,0,0,0,0
Nhej1,72,15,5,2,5,3,5,2,6
Slc23a3,15,13,3,0,13,0,4,2,3
Cnppd1,1116,166,45,13,78,21,25,12,29
Retreg2,1302,135,43,12,80,27,35,11,21
Zfand2b,504,52,17,14,34,7,13,4,5
Abcb6,194,23,4,2,16,12,9,6,3
Atg9a,608,67,21,9,39,27,25,15,12
Ankzf1,183,14,5,0,5,2,2,2,3
Glb1l,195,30,8,4,22,8,12,3,4
Stk16,974,104,44,16,94,22,38,27,22
Tuba4a,200,119,33,6,43,9,14,3,3
Dnajb2,383,69,9,9,37,17,24,11,9
Ptprn,45,5,13,4,2,1,0,1,2
Dnpep,1147,180,60,12,88,20,23,23,15
Des,198,5,7,5,7,3,3,3,1
Speg,123,2,2,1,7,4,2,2,2
Gmppa,977,126,35,12,82,26,34,16,22
Chpf,1502,123,35,12,139,32,41,18,48
Obsl1,367,34,9,3,35,11,11,8,6
Tmem198,22,5,1,0,2,1,2,0,1
Inha,69,3,0,2,6,1,2,1,1
Stk11ip,142,11,2,0,7,1,1,1,1
Slc4a3,253,56,8,1,20,9,12,5,6
Epha4,193,23,10,19,32,38,33,22,13
Pax3,5,0,0,0,0,4,0,3,0
Sgpp2,0,0,0,0,0,0,0,0,0
Farsb,629,84,23,5,24,15,13,10,3
Mogat1,11,2,3,0,0,0,0,0,0
5730419F03Rik,0,0,0,0,0,0,0,0,0
Acsl3,286,79,21,8,40,17,20,13,14
Utp14b,118,49,12,6,23,10,11,10,4
Kcne4,650,100,42,3,42,50,33,4,3
Gm29187,2,1,0,0,0,0,0,0,0
Scg2,6,1,0,0,1,0,0,0,0
Ap1s3,1,1,1,1,0,0,0,0,0
Wdfy1,553,55,18,8,36,6,14,19,11
Mrpl44,252,15,6,2,8,3,3,5,4
Serpine2,1073,180,30,113,459,156,271,436,423
Fam124b,0,1,0,0,0,0,0,0,0
2310015K22Rik,0,0,0,0,0,0,0,0,2
Cul3,1868,334,116,32,168,68,62,43,52
Dock10,188,39,11,5,21,15,8,10,7
Irs1,955,69,13,12,60,29,35,22,24
Rhbdd1,220,21,7,3,13,6,3,3,6
Col4a4,381,33,9,1,17,4,1,5,3
Col4a3,102,16,4,0,5,0,2,1,0
Mff,1541,151,72,17,100,35,39,31,47
Agfg1,1168,159,56,13,103,35,34,26,25
A030005L19Rik,4,2,0,0,3,2,0,1,1
A030014E15Rik,0,0,0,0,0,0,1,0,0
Ccl20,17,0,0,0,0,0,0,0,0
Sphkap,20,1,1,0,2,0,1,0,0
Pid1,1712,185,61,14,70,31,35,20,31
Dner,4,0,0,0,0,0,1,0,0
Trip12,2227,296,89,27,212,86,68,56,40
Fbxo36,189,17,6,1,10,4,3,3,1
Slc16a14,0,0,0,0,0,0,0,0,0
C130026I21Rik,6,1,0,0,0,0,0,0,0
A530032D15Rik,4,1,0,0,2,0,0,0,0
A530040E14Rik,2,2,0,0,0,2,3,1,0
Gm16028,0,0,0,0,0,0,0,0,0
Sp110,106,57,13,0,34,7,4,2,2
Gm16094,0,0,0,0,0,0,0,0,0
Sp140,354,70,14,2,30,4,14,7,6
Gm17017,0,0,0,0,0,0,0,0,0
Sp100,523,152,37,2,62,28,28,15,11
A630001G21Rik,4,4,0,0,2,3,4,0,0
Cab39,1209,166,47,21,73,39,25,23,31
Itm2c,5654,660,160,72,443,150,221,118,127
4933407L21Rik,0,0,0,0,0,0,0,0,0
Gm28884,0,0,0,0,0,0,0,0,0
Gpr55,0,0,0,0,0,0,1,0,0
Gm28100,0,0,0,0,0,0,0,0,0
2810459M11Rik,0,0,0,0,0,0,0,0,0
Psmd1,1914,308,88,21,122,39,31,46,39
Htr2b,16,0,0,0,0,0,0,0,0
Armc9,160,20,3,1,6,3,5,0,3
Gm16341,0,0,0,0,0,0,0,0,0
B3gnt7,0,0,1,0,1,0,0,0,0
Ncl,6220,1322,398,108,553,184,226,152,138
Ptma,29508,6562,2223,1086,4105,1352,1662,1170,1278
Pde6d,716,95,27,10,74,20,27,12,25
Cops7b,169,21,5,5,14,6,6,7,8
Nppc,13,6,0,1,3,0,2,3,0
Dis3l2,311,35,9,2,16,9,13,0,5
Gm29371,0,0,0,0,4,0,0,0,0
Ecel1,1,0,0,0,0,0,0,0,0
Prss56,1,1,0,0,0,0,0,0,0
Chrnd,0,0,0,0,0,0,0,0,0
Chrng,0,0,0,0,0,2,0,0,0
Eif4e2,2049,270,97,31,183,55,50,43,35
Efhd1,48,20,12,4,40,4,7,13,4
Gigyf2,827,98,28,8,74,30,37,27,19
Kcnj13,4,0,0,0,0,0,0,0,0
3110079O15Rik,0,0,0,0,0,0,0,0,0
Ngef,26,5,2,0,6,3,2,1,0
Neu2,0,1,1,0,0,0,0,0,0
Inpp5d,2,0,4,1,1,2,1,0,0
Atg16l1,403,51,14,8,24,8,14,5,5
Sag,32,12,3,2,10,7,3,51,4
Dgkd,319,16,12,5,20,6,12,7,2
Usp40,476,44,16,2,18,8,7,12,14
Ugt1a7c,17,1,1,0,3,0,0,2,0
Ugt1a6b,0,0,0,0,0,0,0,0,0
Ugt1a6a,15,1,0,0,0,0,0,0,0
Ugt1a5,4,1,0,0,0,0,1,0,0
Ugt1a2,0,0,0,0,0,0,0,0,0
Dnajb3,41,5,1,1,2,1,2,2,4
Mroh2a,1,0,0,0,1,0,0,0,0
Hjurp,752,73,20,15,66,37,29,17,23
Gm29538,0,0,0,0,0,0,0,0,0
Glrp1,1,0,0,0,0,0,0,0,0
Gm19589,3,0,0,0,0,0,0,0,0
Gm29336,0,0,0,0,0,0,0,0,0
Arl4c,303,13,28,18,24,12,6,6,5
Platr5,2,1,0,0,0,0,0,0,0
Sh3bp4,387,45,11,1,26,10,11,4,10
Agap1,538,65,13,19,78,26,14,25,27
Gbx2,3,0,0,0,0,1,0,0,0
Ackr3,2085,704,320,18,573,92,131,108,87
Gm28723,11,1,0,0,1,0,1,1,1
Cops8,1193,155,74,29,128,44,46,36,40
Gm9991,6,1,0,0,2,0,1,0,1
Col6a3,17305,1121,257,265,1633,674,476,369,311
Mlph,34,3,3,1,0,0,5,1,1
Prlh,0,0,0,0,0,0,0,0,0
Gm28199,1,0,0,0,0,0,0,0,0
Lrrfip1,703,92,39,14,54,43,25,15,16
Rbm44,0,1,0,0,4,1,0,0,2
Ramp1,2072,94,37,27,83,52,60,15,43
Ube2f,1029,213,64,20,91,44,39,26,26
Scly,317,54,18,4,25,12,10,8,7
Klhl30,3,2,0,1,1,4,1,0,0
Erfe,16,0,1,1,2,4,0,1,1
Ilkap,1343,156,42,23,102,39,35,38,37
Hes6,460,33,11,8,28,16,6,10,6
Per2,175,46,16,4,22,11,11,5,7
Traf3ip1,126,20,5,1,6,0,2,2,4
Asb1,232,22,6,2,9,3,9,3,3
Gm29100,28,0,0,0,1,1,0,0,1
Twist2,3793,345,105,29,131,53,93,26,41
Hdac4,1135,128,49,17,69,50,48,36,23
Gm26720,15,1,1,0,1,2,1,1,1
Ndufa10,1783,265,107,32,141,42,52,24,43
Olfr12,0,0,0,0,0,0,0,0,0
Cops9,3082,569,198,59,301,106,109,56,84
Otos,2,0,0,0,0,0,0,0,0
Gm29483,2,0,0,0,0,0,0,0,0
Gpc1,406,25,20,25,55,28,15,10,13
Gm29480,2,0,0,0,0,0,1,0,0
Ankmy1,1,0,2,0,4,1,0,0,1
Dusp28,100,18,1,1,12,4,5,5,3
5033417F24Rik,2,0,1,0,0,0,1,0,0
Rnpepl1,667,64,21,7,40,16,15,12,10
9430060I03Rik,15,3,0,2,1,0,3,0,0
Capn10,121,15,3,6,15,2,4,3,5
Gpr35,53,0,3,0,2,1,0,0,0
Kif1a,72,3,2,5,8,6,4,13,4
Agxt,13,4,3,0,1,0,0,0,0
2310007B03Rik,1,0,0,0,0,0,0,0,0
Crocc2,9,16,0,0,0,0,2,0,0
Sned1,2749,523,143,10,174,49,133,45,70
Mterf4,166,25,4,0,16,4,1,7,9
Gm28535,4,5,1,0,0,0,0,2,1
Pask,23,4,0,1,1,0,0,1,1
Ppp1r7,646,74,28,10,29,11,11,9,12
Ano7,2,1,0,0,0,0,0,0,0
Hdlbp,7017,971,268,107,566,192,265,103,146
Sept2,138,18,8,11,17,5,6,3,7
Farp2,98,13,4,3,8,3,6,1,0
Stk25,1378,135,36,20,97,45,42,26,31
Bok,376,50,17,20,55,17,11,16,12
Thap4,455,41,13,1,17,5,9,5,4
Atg4b,571,56,16,6,45,10,18,16,13
Dtymk,1380,204,68,27,116,42,41,34,33
Ing5,276,41,11,5,15,6,8,6,7
D2hgdh,143,18,2,1,10,5,1,1,2
Gal3st2c,1,0,0,0,0,0,0,0,0
Pdcd1,0,0,0,0,0,3,1,0,0
Fam174a,883,95,34,8,54,31,33,22,21
St8sia4,4,0,4,0,1,2,1,1,0
Slco4c1,0,0,0,0,0,0,0,1,0
Panct2,0,0,0,0,1,0,0,0,1
D1Ertd622e,98,44,12,11,35,13,9,18,9
Ppip5k2,293,41,14,4,18,7,10,7,6
Gin1,274,27,11,3,21,5,7,3,8
Pam,5115,597,198,41,299,190,143,68,145
1810006J02Rik,0,0,0,0,0,0,0,0,0
Gm7967,29,1,0,0,2,0,0,0,0
Gm28187,1,1,0,0,0,0,0,1,0
Cdh20,1,0,0,0,0,1,0,0,0
Rnf152,72,1,1,1,8,2,2,1,3
Gm17634,4,0,0,0,2,0,0,0,0
Pign,349,33,13,3,13,6,13,5,8
2310035C23Rik,709,51,21,6,28,22,23,12,5
Tnfrsf11a,2,1,2,2,1,0,0,0,0
Gm7160,31,6,1,0,8,1,0,1,2
Zcchc2,191,36,16,4,18,11,8,8,10
