"","timepoint"
"NR_0h_Amp.62_R1.07202015.Left.P3","0h"
"NR_0h_Amp.62_R1.11302015.Left.P3","0h"
"NR_0h_Amp.75_L1.11302015.Left.P3","0h"
"NR_12h_Amp.64_L1.07202015.Left.P3","12h"
"NR_12h_Amp.64_M00.07202015.Left.P3","12h"
"NR_12h_Amp.67_R1.07202015.Left.P3","12h"
"NR_14d_Amp.63_R1.07292015.Left.P3","14d"
"NR_14d_Amp.77_L2.12012015.Left.P3","14d"
"NR_14d_Amp.80_L1.12012015.Left.P3","14d"
"NR_21d_Amp.71_L2.01082016.Left.P3","21d"
"NR_21d_Amp.79_L1.01082016.Left.P3","21d"
"NR_21d_Amp.79_R1.12022015.Left.P3","21d"
"NR_24h_Amp.63_R1.08132015.Left.P3","24h"
"NR_24h_Amp.68_M00.12032015.Left.P3","24h"
"NR_24h_Amp.73_L1.08132015.Left.P3","24h"
"NR_3d_Amp.68_R1.07232015.Left.P3","3d"
"NR_3d_Amp.69_L1.11192015.Left.P3","3d"
"NR_3d_Amp.70_L1.07232015.Left.P3","3d"
"NR_3h_Amp.63_R1.07142015.Left.P3","3h"
"NR_3h_Amp.64_L1.07142015.Left.P3","3h"
"NR_3h_Amp.75_M00.07142015.Left.P3","3h"
"NR_6h_Amp.60_R1.07152015.Left.P3","6h"
"NR_6h_Amp.74_M00.07152015.Left.P3","6h"
"NR_6h_Amp.76_M00.11192015.Left.P3","6h"
"NR_7d_Amp.63_L1.07232015.Left.P3","7d"
"NR_7d_Amp.65_R1.11182015.Right.P3","7d"
"NR_7d_Amp.72_R2.11182015.Right.P3","7d"
"NR_7d_Amp.73_M00.07232015.Left.P3","7d"
"NR_7d_Amp.75_M00.11182015.Left.P3","7d"
