,accuracy,balanced_accuracy,roc_auc
logreg,0.26153846153846155,0.2623106060606061,0.14583333333333331
rf,0.6461538461538462,0.6477272727272727,0.6581439393939394
mlp,0.5230769230769231,0.5303030303030303,0.5142045454545454
